seed,mode,turns,winner,seat
794,selfplay,300,AI 2,3
795,selfplay,300,AI 3,3
796,selfplay,300,AI 3,2
797,selfplay,300,AI 4,2
798,selfplay,300,AI 3,0
799,selfplay,300,AI 2,2
800,selfplay,300,AI 4,3
801,selfplay,300,AI 1,3
802,selfplay,300,AI 3,0
803,selfplay,300,AI 4,0
804,selfplay,300,AI 4,3
805,selfplay,300,AI 1,3
806,selfplay,300,AI 4,1
807,selfplay,300,AI 2,2
808,selfplay,300,AI 1,0
809,selfplay,300,AI 1,3
810,selfplay,300,AI 3,0
811,selfplay,300,AI 2,2
812,selfplay,300,AI 2,1
813,selfplay,300,AI 4,2
814,selfplay,300,AI 3,0
815,selfplay,300,AI 3,3
816,selfplay,300,AI 3,2
817,selfplay,300,AI 1,3
818,selfplay,300,AI 1,2
819,selfplay,300,AI 1,1
820,selfplay,300,AI 2,1
821,selfplay,300,AI 3,1
822,selfplay,300,AI 3,0
823,selfplay,300,AI 4,0
824,selfplay,300,AI 4,3
825,selfplay,300,AI 3,1
826,selfplay,300,AI 3,0
827,selfplay,300,AI 3,3
828,selfplay,300,AI 1,0
829,selfplay,300,AI 2,0
830,selfplay,300,AI 3,0
831,selfplay,300,AI 4,0
832,selfplay,300,AI 1,0
833,selfplay,300,AI 3,1
834,selfplay,300,AI 3,0
835,selfplay,300,AI 1,1
836,selfplay,300,AI 2,1
837,selfplay,300,AI 4,2
838,selfplay,300,AI 2,3
839,selfplay,300,AI 1,1
840,selfplay,300,AI 2,1
841,selfplay,300,AI 4,2
842,selfplay,300,AI 2,3
843,selfplay,300,AI 4,0
844,selfplay,300,AI 4,3
845,selfplay,300,AI 3,1
846,selfplay,300,AI 3,0
847,selfplay,300,AI 3,3
848,selfplay,300,AI 1,0
849,selfplay,300,AI 2,0
850,selfplay,300,AI 4,1
851,selfplay,300,AI 3,3
852,selfplay,300,AI 3,2
853,selfplay,300,AI 1,3
854,selfplay,300,AI 2,3
855,selfplay,300,AI 2,2
856,selfplay,300,AI 2,1
857,selfplay,300,AI 2,0
858,selfplay,300,AI 3,0
859,selfplay,300,AI 4,0
860,selfplay,300,AI 4,3
861,selfplay,300,AI 4,2
862,selfplay,300,AI 4,1
863,selfplay,300,AI 2,2
864,selfplay,300,AI 2,1
865,selfplay,300,AI 3,1
866,selfplay,300,AI 3,0
867,selfplay,300,AI 4,0
